Id,Portfolio,Department/Agency,Outcome,Program,Expense type,Appropriation type,Description,2014-15_x,2015-16_x,2016-17_x,2017-18_x,2014-15_y,2015-16_y,2016-17_y,2017-18_y,2014-15,2015-16,2016-17,2017-18,2014-15%,2015-16%,2016-17%,2017-18%
151,Attorney-General's Portfolio,Office of Parliamentary Counsel,"Outcome 1: A body of Commonwealth laws and instruments that give effect to intended policy, and that are coherent, readable and readily accessible, through the drafting and publication of those laws and instruments",Programme 1.1: Legislative drafting and publication,Departmental expenses,Departmental appropriation,Standardisation and quality control of legislation,1588,1584,1585,1603,1619,1607,1603,1614,31,23,18,11,0.019521411,0.014520202,0.011356467,0.006862133
152,Communications Portfolio,Department of Communications,"Outcome 1: Promote an innovative and competitive communications sector, through policy development, advice and program delivery, so all Australians can realise the full potential of digital technologies and communications services",Programme 1.1: Digital Technologies and Communications Services,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Community Broadcasting Program,17700,17522,16488,16835,17359,16880,15491,15492,-341,-642,-997,-1343,-0.019265537,-0.036639653,-0.060468219,-0.07977428
153,Attorney-General's Portfolio,Office of Parliamentary Counsel,"Outcome 1: A body of Commonwealth laws and instruments that give effect to intended policy, and that are coherent, readable and readily accessible, through the drafting and publication of those laws and instruments",Programme 1.1: Legislative drafting and publication,Departmental expenses,Departmental appropriation,Legislative drafting capability,2700,2693,2695,2724,2752,2733,2726,2744,52,40,31,20,0.019259259,0.014853323,0.011502783,0.007342144
154,Communications Portfolio,Department of Communications,"Outcome 1: Promote an innovative and competitive communications sector, through policy development, advice and program delivery, so all Australians can realise the full potential of digital technologies and communications services",Programme 1.1: Digital Technologies and Communications Services,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),International Organisation Contributions,3596,3596,3646,3714,3665,3827,3827,3844,69,231,181,130,0.019187987,0.064238042,0.049643445,0.035002693
155,Health Portfolio,Department of Health,Outcome 1:  Population Health,Programme 1.2: Drug Strategy ,Departmental expenses,Departmental appropriation,Programme support,22564,19597,19352,19901,22132,17928,16201,16162,-432,-1669,-3151,-3739,-0.019145542,-0.085166097,-0.162825548,-0.187880006
156,Attorney-General's Portfolio,Office of Parliamentary Counsel,"Outcome 1: A body of Commonwealth laws and instruments that give effect to intended policy, and that are coherent, readable and readily accessible, through the drafting and publication of those laws and instruments",Programme 1.1: Legislative drafting and publication,Departmental expenses,Departmental appropriation,Programme and project management,953,951,951,962,971,964,962,968,18,13,11,6,0.018887723,0.013669821,0.011566772,0.006237006
157,Social Services Portfolio,Department of Social Services,Outcome 2: Families and Communities,Programme 2.1: Families and Communities,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Families and Children,240424,212932,204504,208010,235937,227521,225034,223319,-4487,14589,20530,15309,-0.018662862,0.068514831,0.100389234,0.073597423
158,Employment Portfolio,Department of Employment,"Outcome 1: Foster a productive and competitive labour market through employment policies and programmes that assist job seekers into work, meet employer needs and increase Australia's workforce participation.",Programme 1.1: Employment Services,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Job Services Australia,1448436,1767184,1863677,1930771,1423988,0,0,0,-24448,-1767184,-1863677,-1930771,-0.016878896,-1,-1,-1
159,Social Services Portfolio,Department of Social Services,Outcome 1: Social Security,Programme 1.9: Income Support for Carers,Administered expenses,Special appropriations,Social Security (Administration) Act 1999 - Wife Pension (DSP),103296,87055,78087,67869,104961,87033,77248,66948,1665,-22,-839,-921,0.016118727,-0.000252714,-0.010744426,-0.01357026
160,Social Services Portfolio,Department of Social Services,Outcome 1: Social Security,Programme 1.6: Income Support for Seniors,Administered expenses,Special appropriations,Social Security (Administration) Act 1999 - Widow B Pension,7522,7369,7259,6984,7401,7156,7008,6705,-121,-213,-251,-279,-0.016086147,-0.028904872,-0.034577766,-0.039948454
161,Defence Portfolio,Department of Veterans' Affairs,"Outcome 1: Maintain and enhance the financial wellbeing and self sufficiency of eligible persons and their dependants through access to income support, compensation, and other support services, including advice and information about entitlements.",Programme 1.4: Assistance & Other Compensation for Veterans and Dependants,Administered expenses,Special appropriation,Veterans' Entitlements Act 1986 (VEA) - POW (E),6102,4881,3905,3124,6198,4994,4024,3242,96,113,119,118,0.015732547,0.023150994,0.030473752,0.037772087
162,Social Services Portfolio,Department of Social Services,Outcome 1: Social Security,Programme 1.9: Income Support for Carers,Administered expenses,Special appropriations,Social Security (Administration) Act 1999 - Carer Supplement,560500,588457,618026,649321,552054,579656,608670,639104,-8446,-8801,-9356,-10217,-0.015068689,-0.014956063,-0.015138522,-0.015734898
163,Social Services Portfolio,Department of Social Services,Outcome 1: Social Security,Programme 1.11: Student Payments,Administered expenses,Special appropriations,Student Assistance Act 1973 - ABSTUDY - Secondary,150040,155030,155479,158971,147819,155051,155316,154366,-2221,21,-163,-4605,-0.014802719,0.000135458,-0.001048373,-0.028967548
164,Foreign Affairs and Trade Portfolio,Tourism Australia,Outcome 1 - Grow demand and foster a competitive and sustainable Australian tourism industry through partnership marketing to targeted global consumers in key markets,Program 1: Supporting Outcome 1,Departmental expenses,"Ordinary annual services (Appropriation Bill No. 1), Funds from Portfolio Agency & Revenues from other independent sources ",Grow Demand,135411,135215,134870,138189,137381,145453,144997,146440,1970,10238,10127,8251,0.014548301,0.075716452,0.075087121,0.059708081
165,Defence Portfolio,Department of Veterans' Affairs,"Outcome 1: Maintain and enhance the financial wellbeing and self sufficiency of eligible persons and their dependants through access to income support, compensation, and other support services, including advice and information about entitlements.",Programme 1.5 Veterans' Children Education Scheme,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Veterans' Children Education Scheme,15634,15443,15660,16237,15861,15537,15637,16094,227,94,-23,-143,0.014519637,0.0060869,-0.00146871,-0.008807046
166,Defence Portfolio,Defence Materiel Organisation,Outcome 1: Contributing to the preparedness of Australian Defence Organistion through acquisition and through-life support of military equipment and supplies,Programme 1.1 Management of Capability Acquisition,Departmental expenses,Special Account,Defence Materiel Special Account,6015515,6576356,5979445,7133178,6098657,0,0,0,83142,-6576356,-5979445,-7133178,0.013821261,-1,-1,-1
167,Social Services Portfolio,Department of Social Services,Outcome 1: Social Security,Programme 1.9: Income Support for Carers,Administered expenses,Special appropriations,Social Security (Administration) Act 1999 - Carer Allowance (Adult),1554572,1674515,1782815,1914293,1534172,1655155,1767211,1887548,-20400,-19360,-15604,-26745,-0.013122583,-0.011561557,-0.00875245,-0.013971215
168,Social Services Portfolio,Department of Human Services,"Outcome 1: Support individuals, families and communities to achieve greater self-sufficiency; through the delivery of policy advice and high quality accessible social, health and child support services and other payments; and support providers and businesses through convenient and efficient service delivery.",Programme 1.3: Child Support,Administered expenses,Special Account,Child Support Account,1374814,1403895,1435946,1471648,1358121,1388859,1427973,1471549,-16693,-15036,-7973,-99,-0.012142006,-0.010710203,-0.005552437,-6.73E-05
169,Social Services Portfolio,Department of Social Services,Outcome 1: Social Security,Programme 1.6: Income Support for Seniors,Administered expenses,Special appropriations,Social Security (Administration) Act 1999 - Wife Pension (Age),117031,110177,105144,99078,115665,109627,103228,97743,-1366,-550,-1916,-1335,-0.011672121,-0.004991967,-0.018222628,-0.013474232
170,Social Services Portfolio,Department of Social Services,Outcome 2: Families and Communities,Programme 2.1: Families and Communities,Administered expenses,Special account,Other Services _ Services for Other Entities and Trust Moneys,7140,7000,7000,113,7223,16683,11995,435,83,9683,4995,322,0.01162465,1.383285714,0.713571429,2.849557522
171,Social Services Portfolio,Department of Social Services,Outcome 3: Ageing and Aged Care,Programme 3.4: Residential and Flexible Care,Administered expenses,Special appropriations,Aged Care Act 1997 - Residential Care Subsidies,9021620,9665159,10272365,10930443,9125171,9612511,10147251,10776034,103551,-52648,-125114,-154409,0.011478094,-0.005447194,-0.012179668,-0.014126509
172,Social Services Portfolio,Department of Social Services,Outcome 1: Social Security,Programme 1.6: Income Support for Seniors,Administered expenses,Special appropriations,Social Security (Administration) Act 1999 - Age Pension,41965548,44546528,47477038,49565430,41528959,44066653,46129589,47619159,-436589,-479875,-1347449,-1946271,-0.01040351,-0.010772444,-0.028381067,-0.039266703
173,Environment Portfolio,Department of the Environment,"Outcome 1: Conserve, protect and sustainably manage Australia's biodiversity, ecosystems, environment and heritage through research, information management, supporting natural resource management, establishing and managing Commonwealth protected areas, and reducing and regulating the use of pollutants and hazardous substances.",Programme 1.1: Sustainable Management of Natural Resources and the Environment,Administered expenses,Special Account,Natural Heritage Trust of Australia Account,251775,227294,215763,204195,249606,227294,215763,204195,-2169,0,0,0,-0.008614835,0,0,0
174,Social Services Portfolio,Department of Social Services,Outcome 1: Social Security,Programme 1.4: Income Support for People in Special Circumstances,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Payments under Special Circumstances,1384,1392,1400,1412,1373,1369,1366,1366,-11,-23,-34,-46,-0.007947977,-0.016522989,-0.024285714,-0.032577904
175,Defence Portfolio,Department of Veterans' Affairs,"Outcome 1: Maintain and enhance the financial wellbeing and self sufficiency of eligible persons and their dependants through access to income support, compensation, and other support services, including advice and information about entitlements.",Programme 1.2: Veterans' Disability Support,Administered expenses,Special appropriation,Veterans' Entitlements Act 1986 (VEA) - Loss of earnings,527,555,582,597,523,551,577,591,-4,-4,-5,-6,-0.007590133,-0.007207207,-0.008591065,-0.010050251
176,Social Services Portfolio,Department of Social Services,Outcome 1: Social Security,Programme 1.2: Child Payments,Administered expenses,Special appropriations,Social Security (Administration) Act 1999 - Double Orphan Pension,3738,3929,4089,4198,3711,3888,4035,4199,-27,-41,-54,1,-0.007223114,-0.010435225,-0.013206163,0.000238209
177,Defence Portfolio,Department of Veterans' Affairs,"Outcome 2:   Maintain and enhance the physical wellbeing and quality of life of eligible persons and their dependants through health and other care services that promote early intervention, prevention and treatment, including advice and information about health service entitlements.",Programme 2.2: Veterans' Hospital Services,Administered expenses,Special appropriation,Veterans' Entitlements Act 1986 (VEA) - Nursing homes (POW),4154,3943,3747,3614,4184,4022,3893,3782,30,79,146,168,0.007221955,0.020035506,0.038964505,0.046485888
178,Communications Portfolio,Department of Communications,"Outcome 1: Promote an innovative and competitive communications sector, through policy development, advice and program delivery, so all Australians can realise the full potential of digital technologies and communications services",Programme 1.1: Digital Technologies and Communications Services,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Digital Productivity,13757,3909,2396,1500,13852,3754,2396,1500,95,-155,0,0,0.006905575,-0.039652085,0,0
179,Defence Portfolio,Department of Veterans' Affairs,"Outcome 2:   Maintain and enhance the physical wellbeing and quality of life of eligible persons and their dependants through health and other care services that promote early intervention, prevention and treatment, including advice and information about health service entitlements.",Programme 2.5: Veterans' Counselling and Other Health Services,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Counselling support & children's assistance,1519,1517,1248,876,1509,1504,1233,859,-10,-13,-15,-17,-0.006583278,-0.008569545,-0.012019231,-0.019406393
180,Social Services Portfolio,Department of Social Services,Outcome 1: Social Security,Programme 1.9: Income Support for Carers,Administered expenses,Special appropriations,Social Security (Administration) Act 1999 - Child Disability Assistance Payment,172456,175867,180050,182532,171331,174758,178286,181878,-1125,-1109,-1764,-654,-0.006523403,-0.006305902,-0.009797279,-0.003582933
181,Defence Portfolio,Department of Veterans' Affairs,"Outcome 1: Maintain and enhance the financial wellbeing and self sufficiency of eligible persons and their dependants through access to income support, compensation, and other support services, including advice and information about entitlements.",Programme 1.2: Veterans' Disability Support,Administered expenses,Special appropriation,Veterans' Entitlements Act 1986 (VEA) - Recreation transport allowance,1847,1608,1402,1437,1836,1595,1391,1425,-11,-13,-11,-12,-0.005955604,-0.008084577,-0.007845934,-0.008350731
182,Defence Portfolio,Department of Veterans' Affairs,"Outcome 1: Maintain and enhance the financial wellbeing and self sufficiency of eligible persons and their dependants through access to income support, compensation, and other support services, including advice and information about entitlements.",Programme 1.2: Veterans' Disability Support,Administered expenses,Special appropriation,Veterans' Entitlements Act 1986 (VEA) - Disability pensions,1572055,1563657,1559296,1539125,1563315,1545556,1541833,1543633,-8740,-18101,-17463,4508,-0.005559602,-0.011576068,-0.011199285,0.002928937
183,Defence Portfolio,Department of Veterans' Affairs,"Outcome 1: Maintain and enhance the financial wellbeing and self sufficiency of eligible persons and their dependants through access to income support, compensation, and other support services, including advice and information about entitlements.",Programme 1.4: Assistance & Other Compensation for Veterans and Dependants,Administered expenses,Special appropriation,Defence Service Homes Act 1918 - Interest subsidy,1459,1225,1035,845,1451,1219,1030,877,-8,-6,-5,32,-0.005483208,-0.004897959,-0.004830918,0.037869822
184,Social Services Portfolio,Department of Social Services,Outcome 2: Families and Communities,Programme 2.1: Families and Communities,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Settlement Services,142839,129032,132876,132495,142092,149515,159445,162413,-747,20483,26569,29918,-0.005229664,0.158743567,0.19995334,0.225804747
185,Attorney-General's Portfolio,Australian Law Reform Commission,"Outcome 1: Informed government decisions about the development, reform and harmonisation of Australian laws and related processes through research, analysis, reports and community consultation and education",Programme 1.1: Conducting inquiries into aspects of Australian law and related processes for the purpose of law reform,Departmental expenses,Special Account,Law Reform Special Account,2835,2814,2796,2822,2822,2791,2786,2781,-13,-23,-10,-41,-0.004585538,-0.008173419,-0.003576538,-0.014528703
186,Social Services Portfolio,Department of Social Services,Outcome 1: Social Security,Programme 1.2: Child Payments,Administered expenses,Special appropriations,Student Assistance Act 1973 - Assistance for Isolated Children,69792,72099,74449,76804,69478,71513,73859,76210,-314,-586,-590,-594,-0.004499083,-0.008127713,-0.007924888,-0.007733972
187,Defence Portfolio,Department of Veterans' Affairs,"Outcome 2:   Maintain and enhance the physical wellbeing and quality of life of eligible persons and their dependants through health and other care services that promote early intervention, prevention and treatment, including advice and information about health service entitlements.",Programme 2.3: Veterans' Pharmaceuticals Benefits,Administered expenses,Special appropriation,Veterans' Entitlements Act 1986 (VEA) - Pharmaceutical services,389835,368316,376295,390299,388116,368707,376111,388746,-1719,391,-184,-1553,-0.004409558,0.001061588,-0.000488978,-0.003979001
188,Social Services Portfolio,Department of Social Services,Outcome 1: Social Security,Programme 1.9: Income Support for Carers,Administered expenses,Special appropriations,Social Security (Administration) Act 1999 - Carer Allowance (Child),550852,576323,601371,628387,548445,571045,593783,618291,-2407,-5278,-7588,-10096,-0.004369595,-0.009158059,-0.012617835,-0.016066532
189,Health Portfolio,Department of Health,Outcome 2: Access to Pharmaceutical Services,Programme expenses 2.2: Pharmaceutical and pharmaceutical services,Administered expenses,Special appropriation,National Health Act 1953 - pharmaceutical benefits,9247686,9406281,9910361,10264643,9283968,9770425,10254185,10636453,36282,364144,343824,371810,0.00392336,0.038712856,0.034693388,0.0362224
190,Defence Portfolio,Department of Veterans' Affairs,"Outcome 1: Maintain and enhance the financial wellbeing and self sufficiency of eligible persons and their dependants through access to income support, compensation, and other support services, including advice and information about entitlements.",Programme 1.6: Military Rehabilitation and Compensation Acts Payments - Income Support & Compensation,Administered expenses,Special appropriation,"Safety, Rehabilitation and Compensation Act 1988 - Other income support and compensation-related payments",340,339,339,348,339,336,336,345,-1,-3,-3,-3,-0.002941176,-0.008849558,-0.008849558,-0.00862069
191,Agriculture Portfolio,Department of Agriculture,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Programme 1.5: Horticulture Industry,Administered expenses,Special appropriation,"Horticulture Marketing and Research and Development Services Act 2000, s. 16(9)",86826,86826,86826,86826,86598,86396,86396,86396,-228,-430,-430,-430,-0.002625942,-0.004952434,-0.004952434,-0.004952434
192,Health Portfolio,Department of Health,"Outcome 7: Health Infrastructure, Regulation, Safety and Quality",Programme 7.7: Regulatory policy,Departmental expenses,Special account,OGTR Special Account,8001,7969,9932,8019,7981,7906,9835,7092,-20,-63,-97,-927,-0.002499688,-0.007905634,-0.009766412,-0.115600449
193,Defence Portfolio,Department of Veterans' Affairs,"Outcome 2:   Maintain and enhance the physical wellbeing and quality of life of eligible persons and their dependants through health and other care services that promote early intervention, prevention and treatment, including advice and information about health service entitlements.",Programme 2.1:  General Medical Consultations and Services,Administered expenses,Special appropriation,Veterans' Entitlements Act 1986 (VEA) - Medical services,471947,462019,450283,443769,470859,459977,447169,439642,-1088,-2042,-3114,-4127,-0.002305344,-0.004419732,-0.006915651,-0.009299883
194,Social Services Portfolio,Department of Human Services,"Outcome 1: Support individuals, families and communities to achieve greater self-sufficiency; through the delivery of policy advice and high quality accessible social, health and child support services and other payments; and support providers and businesses through convenient and efficient service delivery.",Programme 1.3: Child Support,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Child Support dishonoured cheques and other shortfalls,2237,2285,2337,2395,2232,2252,2312,2383,-5,-33,-25,-12,-0.002235136,-0.014442013,-0.010697475,-0.005010438
195,Health Portfolio,Department of Health,"Outcome 7: Health Infrastructure, Regulation, Safety and Quality",Programme 7.7: Regulatory policy,Departmental expenses,Departmental appropriation,Programme support,14605,11876,11730,12047,14637,10873,9815,9791,32,-1003,-1915,-2256,0.00219103,-0.084456046,-0.163256607,-0.187266539
196,Defence Portfolio,Department of Veterans' Affairs,"Outcome 1: Maintain and enhance the financial wellbeing and self sufficiency of eligible persons and their dependants through access to income support, compensation, and other support services, including advice and information about entitlements.",Programme 1.2: Veterans' Disability Support,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Vehicle Assistance Scheme,721,722,722,740,720,716,716,733,-1,-6,-6,-7,-0.001386963,-0.008310249,-0.008310249,-0.009459459
197,Social Services Portfolio,Department of Social Services,Outcome 3: Ageing and Aged Care,Programme 3.6: Ageing and Service Improvement,Administered expenses,Special appropriations,National Health Act 1953 - section 12 - Continence Aids Payment Scheme,83422,100150,117577,135812,83525,99513,116659,134622,103,-637,-918,-1190,0.001234686,-0.006360459,-0.007807649,-0.008762112
198,Defence Portfolio,Department of Veterans' Affairs,"Outcome 1: Maintain and enhance the financial wellbeing and self sufficiency of eligible persons and their dependants through access to income support, compensation, and other support services, including advice and information about entitlements.",Programme 1.6: Military Rehabilitation and Compensation Acts Payments - Income Support & Compensation,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Other income support and compensation-related payments - SRCA,2843,2722,2723,2790,2840,2701,2702,2765,-3,-21,-21,-25,-0.001055223,-0.007714916,-0.007712082,-0.008960573
199,Agriculture Portfolio,Department of Agriculture,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Programme 1.13: International Market Access,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Food and Agriculture Organization of the United Nations (FAO),12263,12580,12580,12580,12260,12540,12513,12472,-3,-40,-67,-108,-0.000244638,-0.00317965,-0.005325914,-0.008585056
200,Social Services Portfolio,Department of Social Services,Outcome 5: Disability and Carers,"Programme 5.1: Disability, Mental Health and Carers",Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Disability and Carer Support,26310,27346,48006,65728,26304,114804,134435,146214,-6,87458,86429,80486,-0.00022805,3.198200834,1.800379119,1.224531402
201,Health Portfolio,Department of Health,Outcome 3: Access to Medical and Dental Services,Programme expenses 3.1: Medicare services,Administered expenses,Special appropriation,Health Insurance Act 1973 - medical benefits,20307671,20175324,21479199,22646023,20311899,21126958,22111594,22974791,4228,951634,632395,328768,0.000208197,0.047168214,0.029442206,0.014517693
202,Attorney-General's Portfolio,Federal Court of Australia,"Outcome 1: Through its jurisdiction, the Court will apply and uphold the rule of law to deliver remedies and enforce rights and in so doing, contribute to the social and economic well-being of all Australians",Programme 1.1: Federal Court Business,Departmental expenses,Departmental appropriation,Programme support,95152,93928,93064,93769,95148,96799,94091,95105,-4,2871,1027,1336,-4.20E-05,0.030565965,0.011035416,0.014247779
203,Social Services Portfolio,Department of Social Services,Outcome 3: Ageing and Aged Care,Programme 3.3: Home Care,Administered expenses,Special appropriations,Aged Care Act 1997 - Home Care Packages,1363547,1539085,1736414,1942466,1363533,1529550,1729694,1954042,-14,-9535,-6720,11576,-1.03E-05,-0.006195239,-0.003870045,0.005959435
204,Social Services Portfolio,Department of Social Services,Outcome 3: Ageing and Aged Care,Programme 3.2: Home Support,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Home Support,1641079,1716380,1780856,1852824,1641069,1640574,1701436,1764220,-10,-75806,-79420,-88604,-6.09E-06,-0.04416621,-0.044596531,-0.047821056
205,Social Services Portfolio,Department of Social Services,Outcome 3: Ageing and Aged Care,Programme 3.4: Residential and Flexible Care,Administered expenses,Special appropriations,Aged Care (Bond Security) Act 2006 - Accommodation Bond Guarantee Scheme,0,0,0,0,8653,0,0,0,8653,0,0,0,0,0,0,0
206,Employment Portfolio,Department of Employment,"Outcome 1: Foster a productive and competitive labour market through employment policies and programmes that assist job seekers into work, meet employer needs and increase Australia's workforce participation.",Programme 1.1: Employment Services,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Mature Age Employment,3820,3282,3352,3412,3820,3273,3335,3388,0,-9,-17,-24,0,-0.00274223,-0.005071599,-0.007033998
207,Employment Portfolio,Department of Employment,"Outcome 2: Facilitate jobs growth through policies that promote fair, productive and safe workplaces.",Programme 2.1: Employee Assistance,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),General Employee Entitlements and Redundancy Scheme,12817,0,0,0,12817,0,0,0,0,0,0,0,0,0,0,0
208,Employment Portfolio,Department of Employment,"Outcome 2: Facilitate jobs growth through policies that promote fair, productive and safe workplaces.",Programme 2.1: Employee Assistance,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Fair Entitlements Guarantee,500,1050,1750,1750,500,6025,6805,1750,0,4975,5055,0,0,4.738095238,2.888571429,0
209,Employment Portfolio,Department of Employment,"Outcome 2: Facilitate jobs growth through policies that promote fair, productive and safe workplaces.",Programme 2.1: Employee Assistance,Administered expenses,Special appropriation,Coal Mining Industry (LSL) Funding Act 1992,174618,174618,174618,174618,174618,174618,174618,174618,0,0,0,0,0,0,0,0
210,Employment Portfolio,Department of Employment,"Outcome 2: Facilitate jobs growth through policies that promote fair, productive and safe workplaces.",Programme 2.2: Workplace Assistance,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Protected Action Ballots Scheme,1600,1600,1600,1600,1600,1600,1600,1600,0,0,0,0,0,0,0,0
211,Employment Portfolio,Department of Employment,"Outcome 2: Facilitate jobs growth through policies that promote fair, productive and safe workplaces.",Programme 2.3: Workers Compensation Payments,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Comcare,7563,7507,6052,6111,7563,7727,6194,6235,0,220,142,124,0,0.029305981,0.023463318,0.020291278
212,Defence Portfolio,Defence Materiel Organisation,Outcome 1: Contributing to the preparedness of Australian Defence Organistion through acquisition and through-life support of military equipment and supplies,Programme 1.3 Provision of Policy Advice and Management Services,Departmental expenses,Special Account,Defence Materiel Special Account,894,917,2596,963,894,0,0,0,0,-917,-2596,-963,0,-1,-1,-1
213,Defence Portfolio,Department of Veterans' Affairs,"Outcome 1: Maintain and enhance the financial wellbeing and self sufficiency of eligible persons and their dependants through access to income support, compensation, and other support services, including advice and information about entitlements.",Programme 1.2: Veterans' Disability Support,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),"Medical examinations, fares and expenses",12247,13169,14159,14587,12247,13130,14089,14486,0,-39,-70,-101,0,-0.0029615,-0.004943852,-0.006923973
214,Defence Portfolio,Department of Veterans' Affairs,"Outcome 1: Maintain and enhance the financial wellbeing and self sufficiency of eligible persons and their dependants through access to income support, compensation, and other support services, including advice and information about entitlements.",Programme 1.2: Veterans' Disability Support,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Repayments of maintenance deductions,71,71,71,71,71,71,71,71,0,0,0,0,0,0,0,0
215,Defence Portfolio,Department of Veterans' Affairs,"Outcome 1: Maintain and enhance the financial wellbeing and self sufficiency of eligible persons and their dependants through access to income support, compensation, and other support services, including advice and information about entitlements.",Programme 1.4: Assistance & Other Compensation for Veterans and Dependants,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Legal Expenses,1597,1590,1620,1653,1597,1585,1612,1640,0,-5,-8,-13,0,-0.003144654,-0.004938272,-0.007864489
216,Defence Portfolio,Department of Veterans' Affairs,"Outcome 1: Maintain and enhance the financial wellbeing and self sufficiency of eligible persons and their dependants through access to income support, compensation, and other support services, including advice and information about entitlements.",Programme 1.4: Assistance & Other Compensation for Veterans and Dependants,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Defective Administration,250,250,250,250,250,250,249,248,0,0,-1,-2,0,0,-0.004,-0.008
217,Defence Portfolio,Department of Veterans' Affairs,"Outcome 1: Maintain and enhance the financial wellbeing and self sufficiency of eligible persons and their dependants through access to income support, compensation, and other support services, including advice and information about entitlements.",Programme 1.4: Assistance & Other Compensation for Veterans and Dependants,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Payments to ESOs (BEST & TIP),5002,5008,5103,5115,5002,4993,5078,5075,0,-15,-25,-40,0,-0.002995208,-0.004899079,-0.007820137
218,Defence Portfolio,Department of Veterans' Affairs,"Outcome 1: Maintain and enhance the financial wellbeing and self sufficiency of eligible persons and their dependants through access to income support, compensation, and other support services, including advice and information about entitlements.",Programme 1.4: Assistance & Other Compensation for Veterans and Dependants,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Veterans' Access to Community Information,1107,1103,1123,1147,1107,1100,1117,1138,0,-3,-6,-9,0,-0.002719855,-0.005342832,-0.007846556
219,Defence Portfolio,Department of Veterans' Affairs,"Outcome 1: Maintain and enhance the financial wellbeing and self sufficiency of eligible persons and their dependants through access to income support, compensation, and other support services, including advice and information about entitlements.",Programme 1.4: Assistance & Other Compensation for Veterans and Dependants,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Act of Grace,78,78,80,82,78,77,79,81,0,-1,-1,-1,0,-0.012820513,-0.0125,-0.012195122
220,Defence Portfolio,Department of Veterans' Affairs,"Outcome 1: Maintain and enhance the financial wellbeing and self sufficiency of eligible persons and their dependants through access to income support, compensation, and other support services, including advice and information about entitlements.",Programme 1.4: Assistance & Other Compensation for Veterans and Dependants,Administered expenses,Special appropriation,Veterans' Entitlements Act 1986 (VEA) - POW (J),25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0
221,Defence Portfolio,Department of Veterans' Affairs,"Outcome 1: Maintain and enhance the financial wellbeing and self sufficiency of eligible persons and their dependants through access to income support, compensation, and other support services, including advice and information about entitlements.",Programme 1.4: Assistance & Other Compensation for Veterans and Dependants,Administered expenses,Special appropriation,Veterans' Entitlements Act 1986 (VEA) - Compensation payments for BCAL veterans,865,792,728,671,865,804,761,720,0,12,33,49,0,0.015151515,0.04532967,0.073025335
222,Defence Portfolio,Department of Veterans' Affairs,"Outcome 1: Maintain and enhance the financial wellbeing and self sufficiency of eligible persons and their dependants through access to income support, compensation, and other support services, including advice and information about entitlements.",Programme 1.4: Assistance & Other Compensation for Veterans and Dependants,Administered expenses,Special appropriation,Papua New Guinea (Members of the Forces Benefits) Act 1957 - PNG pensions,70,70,70,70,70,70,70,70,0,0,0,0,0,0,0,0
223,Defence Portfolio,Department of Veterans' Affairs,"Outcome 1: Maintain and enhance the financial wellbeing and self sufficiency of eligible persons and their dependants through access to income support, compensation, and other support services, including advice and information about entitlements.",Programme 1.4: Assistance & Other Compensation for Veterans and Dependants,Administered expenses,Special appropriation,"Safety, Rehabilitation and Compensation Act 1988 - Compensation for certain AFP personnel with overseas service",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
